time,price,change_price,rsi,coin_allocation,cash_allocation,coin_balance,cash_balance,total_balance,profit,total_profit
1668394854.977869,1192.93,x,68.507755,0.0,1.0,0.0,1000.0,1000.0,x,x
1668394914.8101974,1194.61,1.6799999999998363,72.95040639,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668394974.8112133,1191.79,-2.8199999999999363,62.15816379,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668395036.0416353,1190.41,-1.3799999999998818,57.48922574,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668395095.670887,1189.85,-0.5600000000001728,55.71208756,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668395155.7803118,1190.19,0.3400000000001455,56.38716212,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668395216.2619152,1189.63,-0.5599999999999454,54.92353577,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668395275.7221954,1190.1,0.4699999999997999,56.33934465,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668395335.7244313,1190.02,-0.07999999999992724,55.7737972,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668395396.9904516,1190.82,0.7999999999999545,58.44187194,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668395455.7365243,1190.19,-0.6299999999998818,56.06668966,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668395515.7185423,1190.45,0.2599999999999909,56.91695483,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668395576.1011777,1190.36,-0.09000000000014552,56.04140357,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668395635.7983513,1190.18,-0.1799999999998363,55.18357266,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
