Time,Price,Price Change,RSI,State,Cash Allocation,Coin Allocation,Cash Balance,Coin Balance,Value
1668394855.0273106,2.619,0.0,71.03140092,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668394914.862035,2.624,0.0049999999999998,73.0363991,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668394974.877107,2.623,-0.0009999999999998,71.94829456,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668395036.1149826,2.615,-0.008,63.76399598,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668395095.7105076,2.613,-0.0020000000000002,62.00080917,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668395155.8410404,2.61,-0.0030000000000001,59.34976042,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668395216.305396,2.61,0.0,58.67837498,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668395275.7559338,2.614,0.004,61.87733071,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668395335.7582889,2.614,0.0,61.87733071,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668395397.0390697,2.618,0.004,64.57210684,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668395455.7711945,2.613,-0.0049999999999998,59.6524759,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668395515.748633,2.616,0.0030000000000001,61.98101353,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668395576.13567,2.622,0.0059999999999997,66.18438989,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668395635.840299,2.617,-0.0049999999999998,61.5821258,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668395696.1128967,2.621,0.004,64.63914222,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668395755.8956351,2.617,-0.004,61.69631303,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668395815.7921991,2.62,0.0030000000000001,64.22441292,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668395875.7336638,2.62,0.0,64.22441292,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668395935.8282,2.622,0.0019999999999997,65.35483795,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668395995.842452,2.612,-0.0099999999999997,52.58655247,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668396055.909284,2.612,0.0,52.49429477,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668396115.7530534,2.612,0.0,52.73104432,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668396175.9677155,2.61,-0.0020000000000002,50.21566176,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668396235.7193694,2.609,-0.0009999999999998,49.04586589,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668396296.8301537,2.609,0.0,49.04586589,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668396355.7380738,2.623,0.0140000000000002,63.02958337,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668396416.027903,2.615,-0.008,54.35524568,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668396476.02797,2.621,0.0059999999999997,59.72465829,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668396535.885361,2.619,-0.0019999999999997,58.17502992,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668396595.776791,2.619,0.0,57.74554282,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668396655.8913736,2.623,0.004,61.85638245,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668396716.007595,2.621,-0.0020000000000002,58.96223548,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668396775.788047,2.625,0.004,63.70636455,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668396835.8748035,2.629,0.004,67.2538074,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668396895.85145,2.625,-0.004,61.99477575,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668396955.7880447,2.628,0.0030000000000001,64.8302999,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668397016.1341703,2.619,-0.0089999999999998,53.38632998,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668397076.131207,2.624,0.0049999999999998,58.69230823,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668397136.1040113,2.624,0.0,58.69230823,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668397195.7043097,2.621,-0.0030000000000001,54.50399033,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668397255.755348,2.621,0.0,54.50399033,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668397315.9531446,2.626,0.0049999999999998,59.94946715,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668397375.8994172,2.617,-0.0089999999999998,48.95505467,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668397435.843848,2.617,0.0,48.95505467,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668397495.8505871,2.617,0.0,48.95505467,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668397555.947013,2.621,0.004,54.00481786,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668397615.9182415,2.618,-0.0030000000000001,50.31867005,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668397675.9419262,2.628,0.0100000000000002,61.41823434,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668397735.6965206,2.628,0.0,61.41823434,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668397795.9960582,2.628,0.0,61.41823434,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668397856.0482712,2.628,0.0,61.41823434,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668397916.038561,2.627,-0.0010000000000003,59.86702726,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668397975.7535734,2.618,-0.0089999999999998,48.7791338,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668398035.858564,2.616,-0.0019999999999997,46.70883716,-2.0,1.0,0.0,1000.0,0.0,1000.0
