Time,Price,Price Change,MACD,MACD Change,Cash Allocation,Coin Allocation,Cash Balance,Coin Balance,Total Balance
1668123347.9311082,17621.2,0.0,-34.85945208,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123352.5509057,17609.68,-11.520000000000437,-30.43333612,4.426115959999997,1.0,0.0,1000.0,0.0,1000.0
1668123352.8495443,17609.68,0.0,-30.43333612,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123362.5784063,17609.68,0.0,-30.43333612,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123362.8516016,17609.68,0.0,-30.43333612,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123372.5533934,17609.68,0.0,-30.43333612,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123372.8483748,17609.68,0.0,-30.43333612,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123382.5815408,17609.68,0.0,-30.43333612,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123382.9026637,17609.68,0.0,-30.43333612,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123392.5625534,17609.68,0.0,-30.43333612,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123392.86577,17609.68,0.0,-30.43333612,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123402.5679548,17609.68,0.0,-30.43333612,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123402.8680303,17609.68,0.0,-30.43333612,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123412.5840318,17616.86,7.180000000000291,-26.44950964,3.983826480000001,1.0,0.0,1000.0,0.0,1000.0
1668123412.8646145,17616.86,0.0,-26.44950964,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123422.591149,17616.86,0.0,-26.44950964,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123422.8823829,17616.86,0.0,-26.44950964,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123432.5952978,17616.86,0.0,-26.44950964,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123432.875833,17616.86,0.0,-26.44950964,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123442.6048212,17616.86,0.0,-26.44950964,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123442.877036,17616.86,0.0,-26.44950964,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123452.5860262,17616.86,0.0,-26.44950964,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123452.8817542,17616.86,0.0,-26.44950964,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123462.6004944,17616.86,0.0,-26.44950964,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123462.882894,17616.86,0.0,-26.44950964,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123472.6139016,17587.68,-29.18000000000029,-25.31980872,1.1297009199999977,1.0,0.0,1000.0,0.0,1000.0
1668123472.9095328,17587.68,0.0,-25.31980872,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123482.5979495,17587.68,0.0,-25.31980872,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123482.905316,17587.68,0.0,-25.31980872,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123492.612048,17587.68,0.0,-25.31980872,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123492.9074976,17587.68,0.0,-25.31980872,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123502.5985105,17587.68,0.0,-25.31980872,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123502.922395,17587.68,0.0,-25.31980872,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123512.617881,17587.68,0.0,-25.31980872,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123512.905195,17587.68,0.0,-25.31980872,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123522.6080732,17587.68,0.0,-25.31980872,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123523.8102102,17587.68,0.0,-25.31980872,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123532.60455,17601.6,13.919999999998254,-21.96173377,3.3580749500000024,1.0,0.0,1000.0,0.0,1000.0
1668123533.811437,17601.6,0.0,-21.96173377,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123542.6323547,17601.6,0.0,-21.96173377,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123543.8173869,17601.6,0.0,-21.96173377,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123552.6369276,17601.6,0.0,-21.96173377,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123553.824427,17601.6,0.0,-21.96173377,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123562.6288106,17601.6,0.0,-21.96173377,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123563.8571253,17601.6,0.0,-21.96173377,0.0,1.0,0.0,1000.0,0.0,1000.0
1668123572.6392028,17601.6,0.0,-21.96173377,0.0,1.0,0.0,1000.0,0.0,1000.0
