Time,Price,Price Change,MACD,MACD Change,Cash Allocation,Coin Allocation,Cash Balance,Coin Balance,Total Balance
1668394855.1226685,2.619,0.0,0.00461372,0.0,1.0,0.0,1000.0,0.0,1000.0
1668394914.939134,2.624,0.0049999999999998,0.00657385,0.00196013,0.0,1.0,0.0,381.0975609756097,1000.0
1668394974.968519,2.623,-0.0009999999999998,0.00789238,0.0013185299999999,0.0,1.0,0.0,381.0975609756097,999.6189024390244
1668395036.172439,2.615,-0.008,0.00819729,0.00030491,0.0,1.0,0.0,381.0975609756097,996.5701219512196
1668395095.759892,2.613,-0.0020000000000002,0.00806004,-0.00013725,1.0,0.0,995.8079268292682,0.0,995.8079268292682
1668395155.9079792,2.61,-0.0030000000000001,0.00756157,-0.0004984699999999,1.0,0.0,995.8079268292682,0.0,995.8079268292682
1668395216.3611364,2.61,0.0,0.00739554,-0.00016603,1.0,0.0,995.8079268292682,0.0,995.8079268292682
1668395275.8017464,2.614,0.004,0.00749845,0.00010291,0.0,1.0,0.0,380.9517700188479,995.8079268292682
1668395335.8217518,2.614,0.0,0.00736862,-0.00012983,1.0,0.0,995.8079268292684,0.0,995.8079268292684
1668395397.1078317,2.618,0.004,0.00756361,0.0001949899999999,0.0,1.0,0.0,380.36971995006434,995.8079268292684
1668395455.8185644,2.613,-0.0049999999999998,0.00704565,-0.00051796,1.0,0.0,993.906078229518,0.0,993.906078229518
1668395515.8678408,2.616,0.0030000000000001,0.00692386,-0.0001217899999999,1.0,0.0,993.906078229518,0.0,993.906078229518
1668395576.1951752,2.622,0.0059999999999997,0.00722816,0.0003042999999999,0.0,1.0,0.0,379.0641030623639,993.906078229518
1668395635.9087188,2.617,-0.0049999999999998,0.00643104,-0.00079712,1.0,0.0,992.0107577142064,0.0,992.0107577142064
