time,price,change_price,rsi,coin_allocation,cash_allocation,coin_balance,cash_balance,total_balance,profit,total_profit
1668394854.9922163,1192.93,x,68.507755,0.0,1.0,0.0,1000.0,1000.0,x,x
1668394914.823238,1194.61,1.6799999999998363,72.95040639,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668394974.8279235,1191.79,-2.8199999999999363,62.15816379,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668395036.056847,1190.41,-1.3799999999998818,57.48922574,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668395095.6806192,1189.85,-0.5600000000001728,55.71208756,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668395155.7985928,1190.19,0.3400000000001455,56.38716212,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668395216.274873,1189.63,-0.5599999999999454,54.92353577,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668395275.7307625,1190.1,0.4699999999997999,56.33934465,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668395335.7342997,1190.02,-0.07999999999992724,55.7737972,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668395397.0053504,1190.82,0.7999999999999545,58.44187194,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668395455.745928,1190.19,-0.6299999999998818,56.06668966,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668395515.7266014,1190.45,0.2599999999999909,56.91695483,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668395576.11067,1190.36,-0.09000000000014552,56.04140357,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668395635.8105652,1190.18,-0.1799999999998363,55.18357266,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668395696.0812235,1190.22,0.03999999999996362,55.1885243,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668395755.8689363,1190.46,0.2400000000000091,56.13762069,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668395815.762596,1190.93,0.4700000000000273,57.94976557,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668395875.7055492,1190.94,0.009999999999990905,58.05650054,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668395935.7961793,1190.41,-0.5299999999999727,55.06743158,0.0,1.0,0.0,1000.0,1000.0,0.0,0.0
1668395995.8142705,1187.94,-2.4700000000000273,43.48331284,1.0,0.0,0.84179335656683,0.0,1000.0,0.0,0.0
1668396055.8736486,1188.41,0.4700000000000273,45.31972143,1.0,0.0,0.84179335656683,0.0,1000.3956428775864,0.3956428775865106,0.0
1668396115.7224474,1188.54,0.12999999999988177,46.12512519,1.0,0.0,0.84179335656683,0.0,1000.50507601394,0.10943313635368668,0.0
1668396175.941116,1188.13,-0.4099999999998545,44.22864079,1.0,0.0,0.84179335656683,0.0,1000.1599407377478,-0.3451352761921953,0.0
1668396235.6900518,1188.85,0.7199999999997999,48.06200389,1.0,0.0,0.84179335656683,0.0,1000.7660319544756,0.6060912167279184,0.0
