Time,Price,Price Change,Momentum,Momentum Change,Cash Allocation,Coin Allocation,Cash Balance,Coin Balance,Total Balance
1668297535.5291755,16797.51,0.0,7.9,0.0,1.0,0.0,1000.0,0.0,1000.0
1668298021.7247422,16792.72,-4.789999999997235,-8.97,-16.87,1.0,0.0,1000.0,0.0,1000.0
1668298078.36064,16776.12,-16.600000000002183,-25.21,-16.240000000000002,1.0,0.0,1000.0,0.0,1000.0
1668298138.043052,16795.67,19.549999999999272,-3.65,21.56,0.0,1.0,0.0,0.0595391550322196,1000.0
1668298198.308285,16804.41,8.7400000000016,-7.67,-4.02,1.0,0.0,1000.5203722149812,0.0,1000.5203722149812
1668298258.884015,16816.25,11.840000000000146,9.41,17.08,0.0,1.0,0.0,0.059497234651898,1000.5203722149812
1668298318.932126,16805.04,-11.209999999999129,1.29,-8.120000000000001,1.0,0.0,999.853408214532,0.0,999.853408214532
1668298378.8836071,16798.3,-6.740000000001601,-0.37,-1.66,1.0,0.0,999.853408214532,0.0,999.853408214532
1668298439.820176,16793.0,-5.299999999999272,-7.36,-6.99,1.0,0.0,999.853408214532,0.0,999.853408214532
1668298499.699916,16797.97,4.970000000001164,-0.05,7.31,0.0,1.0,0.0,0.059522276097322,999.853408214532
1668298559.6193678,16808.25,10.279999999998836,16.0,16.05,0.0,1.0,0.0,0.059522276097322,1000.4652972128124
1668298621.3209448,16805.03,-3.220000000001164,19.5,3.5,0.0,1.0,0.0,0.059522276097322,1000.273635483779
1668298680.5623696,16825.25,20.220000000001164,39.4,19.9,0.0,1.0,0.0,0.059522276097322,1001.4771759064668
1668298740.4020264,16824.39,-0.8600000000005821,22.67,-16.729999999999997,1.0,0.0,1001.4259867490232,0.0,1001.4259867490232
1668298801.4334395,16820.6,-3.790000000000873,9.74,-12.93,1.0,0.0,1001.4259867490232,0.0,1001.4259867490232
1668298861.3709342,16826.98,6.380000000001019,12.96,3.2200000000000006,0.0,1.0,0.0,0.0595131144595776,1001.4259867490232
1668298921.352878,16829.38,2.400000000001455,29.87,16.91,0.0,1.0,0.0,0.0595131144595776,1001.568818223726
1668298982.1076546,16831.0,1.6199999999989814,36.84,6.970000000000002,0.0,1.0,0.0,0.0595131144595776,1001.6652294691504
1668299042.3460264,16836.66,5.659999999999855,40.92,4.079999999999998,0.0,1.0,0.0,0.0595131144595776,1002.0020736969916
1668299102.109093,16839.91,3.25,29.8,-11.12,1.0,0.0,1002.1954913189852,0.0,1002.1954913189852
1668299163.4005733,16839.48,-0.430000000000291,32.28,2.4800000000000004,0.0,1.0,0.0,0.0595146341406614,1002.1954913189852
1668299223.29143,16838.75,-0.7299999999995634,21.75,-10.53,1.0,0.0,1002.1520456360622,0.0,1002.1520456360622
1668299283.195454,16846.29,7.540000000000873,20.41,-1.34,1.0,0.0,1002.1520456360622,0.0,1002.1520456360622
1668299343.9610603,16848.17,1.8799999999973809,27.51,7.100000000000001,0.0,1.0,0.0,0.0594813588440799,1002.1520456360622
1668299404.0642784,16848.52,0.3500000000021828,25.54,-1.9700000000000024,1.0,0.0,1002.1728641116572,0.0,1002.1728641116572
